Correct as at: 27.03.23,,,,
,Precise,,,
Criteria,Residential,,,
Accountant qualifications,"We're able to consider accounts prepared by accountants with the following qualifications:

Institute of Chartered Accountants in England and Wales (ICAEW): ACA qualified;
Association of Chartered Certified Accountants (ACCA): ACCA/FCCA qualified;
Chartered Institute of Management Accountants (CIMA): ACMA/FCMA qualified;
Association of Authorised Public Accountants (AAPA): AAPA qualified;
Chartered Institute of Taxation (CIOT): CTA qualified;
Institute of Certified Public Accountants (Ireland) CPA Ireland: CPA/FCPA qualified;
Association of International Accountants (AIA): AIA/FAIA qualified;
Institute of Financial Accountants (IFA): FFA/AFA qualified;
Chartered Accountant (CA): CA qualified.
We'll need to be able to verify this qualification in order to consider the accounts provided.",,,
Adverse credit,"Residential Mortgages
We allow a certain amount of adverse credit with levels being dependent on the product chosen, please see the relevant product guide for further details. As a guide our maximum adverse allowed is:
Defaults: 5 in 24 months
CCJs: 3 in 24 months
Debt Management Plans (DMPs): Active DMPs and DMPs satisfied less than 36 months accepted.
Mortgage arrears: 1 in 12 months, 3 in 36 months (worst status)
IVA, Debt relief, and bankruptcy: Must have been discharged for 6 years
Repossessions: Are not accepted
Applicants must not have had any defaults, CCJs or mortgage/secured arrears recorded in the three months before application.
Please be aware that further restrictions may apply, depending on the product chosen. See relevant product guide for further details.

",,,
Age - borrower,"Residential Mortgages
The following are the age limits of the borrower:
Minimum age: 21 years old
Maximum age is 70 years old at the end of the mortgage term, providing this is within the stated retirement date.
We may consider applicants up to age 75 years old upon referral, this will be subject to underwriter review and stated retirement date. 
",,,
Assets and liabilities statement,,,,
Armed forces,"We can accept applications where your applicant is British Armed Forces Personnel.
We can also accept an application if your applicant has a BFPO address (British Forces Post Office). However this only applies if their Barracks is within the UK. We don’t accept this in UK overseas territories.
We support the Forces Help to Buy (FHTB) scheme. The monthly repayment noted on the PIN (Personal Information Note), must be included as a commitment when keying.
We don’t allow Ministry of Defence loans.",,,
Annual bonus,"An annual bonus can be included as part of a customer’s total income providing this is regular and two years' verification can be provided. Please note that we will only include 50% of any bonus in our affordability assessment, however the full amount should be keyed in the online application.",,,
Automated valuation model (AVM),,,,
Builder's deposit,"A Builder’s Deposit is only acceptable on New Build purchases, up to 5% cash based incentive is acceptable (i.e. stamp duty, legal fees, cash back, mortgage payments). Any incentive amount over this will be deducted from the lower of the purchase price/valuation before calculating the LTV. ",,,
Bridge to let,,,,
Bridging process,,,,
Builder's second charge,A Builder’s Second Charge is acceptable providing the customer has a 15% deposit from their own funds. Repayments will be taken in to account for affordability.,,,
Building warranty,"New Build properties and properties less than 10 years old will need to benefit from an acceptable building warranty provided by one of the following:
Advantage HCI
Ark Residential New Build Warranty
BOPAS (Build Offsite Property Assurance Scheme) Modern Methods of Construction (MMC) only
Build Assure (New Homes Structural Defects Insurance)
Building Life Plans
Build zone Structural Warranty
Checkmate (Castle 10) New Home Warranty
Global Home Warranties
HomeProof
International Construction Warranties (ICW)
LABC New Home Warranty
N.H.B.C. Guarantee
One Guarantee
Premier Guarantee Scheme
Protek
The Q Policy
UK FINANCE Compliant Professional Consultants Certificate with proof of PI
Zurich Municipal “New build”
Please note: For developments previously holding a CRL warranty, a retrospective warranty will be accepted from one of the above providers subject to a site survey having been undertaken by the new warranty provider at the time the retrospective warranty was underwritten. In all other circumstances, warranties must exist upon completion of the property and cannot be applied retrospectively.",,,Match this back to guides / bridging list
Capital raising,"For all remortgages the amount of capital being raised and its purpose must be established. It should also be ensured that independent legal advice is sought where appropriate. Capital raising for speculative investment such as purchasing cryptocurrencies / bitcoins is not permitted.

For details on capital raising for purchase schemes, please visit our Help to Buy and Right to Buy sections.",,,
Certification,"Where certified documents are required in support of an application, they should be certified by a suitable representative of the introducing broker or intermediary company. The certification will need to clearly show the following:

The company name
The certifier’s name and their position within the company
The certifier’s signature
The date
Where an applicant has been seen on a face to face basis:

All submitted documents must be certified as follows ‘I certify this is a true copy of the original’
Where the document contains a photograph it must also be certified as ‘a true likeness of the applicant’
Where an applicant has been seen on a non-face to face basis:

All submitted documents must be certified as follows ‘I certify this is a true copy of the original’
ID and residency documents must be certified individually, for further details please see our Anti Money Laundering Guidelines.

Click here to download a copy of our Document Submission form.

Where you are unable to certify the applicant’s documentation Post Office certification is acceptable and we will require a fully completed Post Office Certification Form. Further information can be found at www.postoffice.co.uk/identity/document-certification.

For more information on our validation requirements for supporting documents, click here.",,,
,,,,
,,,,
CIS contractor,,,,
Cladding,Where the valuation is returned with noted uncertainty regarding the building’s cladding or external wall system an EWS1 certificate with supporting covering letter from the certificate provider will be requested for review by our Real Estate team. The Real Estate team may need to speak with the EWS1 certificate provider as part of their validation process.,,,
